Location,Physical_Router_MAC,Mean_RSSI,Std_RSSI
EBlock_1F_ENE131,00:06:66:9c:47:3,-59.333333333333336,7.0178344238090995
EBlock_1F_ENE131,00:06:66:9c:53:0,-82.0,0.0
EBlock_1F_ENE131,f4:2e:7f:4f:1d:0,-83.0,2.5819888974716094
EBlock_1F_ENE131,f4:2e:7f:4f:54:8,-86.33333333333333,0.5773502691896247
EBlock_1F_ENE131,f4:2e:7f:4f:67:0,-86.0,0.0
EBlock_1F_ENE131,f4:2e:7f:4f:67:c,-77.91666666666666,2.9157405937216967
EBlock_1F_ENE131,f4:2e:7f:4f:77:c,-75.3,1.6588706555520984
EBlock_1F_ENE131,f4:2e:7f:4f:7a:8,-77.51666666666667,2.891505225507261
EBlock_1F_ENE131,f4:2e:7f:4f:86:c,-83.93333333333332,1.7701224063135679
EBlock_1F_ENE131,f4:2e:7f:4f:8c:c,-79.33333333333333,1.2018504251546598
EBlock_1F_ENE131,f4:2e:7f:4f:8d:2,-78.77777777777779,0.1924500897298715
EBlock_1F_ENE131,f4:2e:7f:4f:98:2,-63.27272727272727,2.4441230275371515
EBlock_1F_ENE131,f4:2e:7f:4f:9d:e,-76.36666666666666,2.9760359748257024
EBlock_3F_ENE329,00:06:66:9c:53:0,-67.0,12.727922061357855
EBlock_3F_ENE329,84:d4:7e:ef:3b:8,-86.0,0.0
EBlock_3F_ENE329,b8:76:3f:33:d0:e,-87.0,0.0
EBlock_3F_ENE329,f4:2e:7f:4f:16:c,-52.266666666666666,3.9590496427898043
EBlock_3F_ENE329,f4:2e:7f:4f:28:2,-85.05555555555556,1.555158679530336
EBlock_3F_ENE329,f4:2e:7f:4f:39:2,-83.51666666666667,2.737992866731322
EBlock_3F_ENE329,f4:2e:7f:4f:77:c,-81.72916666666667,1.6948509790745119
EBlock_3F_ENE329,f4:2e:7f:4f:d8:8,-85.0,0.0
GBlock_1F_DeanOffice,00:06:66:9c:53:0,-72.4,3.911521443121591
GBlock_1F_DeanOffice,04:bd:88:27:4a:4,-84.78571428571429,1.8676443018131794
GBlock_1F_DeanOffice,04:bd:88:27:4f:2,-87.0,0.0
GBlock_1F_DeanOffice,28:24:ff:94:aa:f,-80.77777777777777,0.6666666666666662
GBlock_1F_DeanOffice,84:d4:7e:e6:71:e,-86.0,0.0
GBlock_1F_DeanOffice,84:d4:7e:e6:e8:4,-85.41666666666666,1.2963624321753389
GBlock_1F_DeanOffice,84:d4:7e:ef:3f:c,-78.4074074074074,3.008219193484639
GBlock_1F_DeanOffice,84:d4:7e:ef:60:c,-85.33333333333333,0.5773502691896247
GBlock_1F_DeanOffice,84:d4:7e:f2:f1:c,-80.83333333333334,0.2357022603955175
GBlock_1F_DeanOffice,a8:5e:45:dc:fd:8,-87.0,0.0
GBlock_1F_DeanOffice,e4:c3:2a:85:e7:5,-78.875,4.421942042651782
GBlock_1F_DeanOffice,ea:c3:2a:85:e7:5,-77.71428571428571,2.2886885410853175
GBlock_1F_Washroom,00:06:66:9c:53:0,-61.75,4.4960299948160625
GBlock_1F_Washroom,04:bd:88:27:4a:4,-80.68518518518518,1.4753635249877206
GBlock_1F_Washroom,04:bd:88:27:4f:2,-84.5,2.1213203435596424
GBlock_1F_Washroom,84:d4:7e:e6:24:0,-82.0,0.0
GBlock_1F_Washroom,84:d4:7e:e6:24:c,-59.06666666666666,3.317741311104195
GBlock_1F_Washroom,84:d4:7e:e6:73:e,-81.625,1.7017148213885096
GBlock_1F_Washroom,84:d4:7e:e6:77:4,-82.0,0.0
GBlock_1F_Washroom,84:d4:7e:e6:78:2,-81.33333333333334,2.35702260395515
GBlock_1F_Washroom,84:d4:7e:e6:83:e,-82.33333333333333,1.5275252316519485
GBlock_1F_Washroom,84:d4:7e:e6:e8:4,-81.5,2.1213203435596424
GBlock_1F_Washroom,84:d4:7e:e6:f0:a,-85.0,5.656854249492381
GBlock_1F_Washroom,84:d4:7e:ee:94:0,-85.0,0.0
GBlock_1F_Washroom,84:d4:7e:ef:35:4,-77.66666666666666,3.29983164553723
GBlock_1F_Washroom,84:d4:7e:f2:f1:c,-84.75,3.181980515339464
GBlock_1F_Washroom,84:d4:7e:f2:fc:6,-83.66666666666667,1.5275252316519463
GBlock_1F_Washroom,84:d4:7e:f2:fd:c,-65.53333333333333,4.377834178993698
GBlock_1F_Washroom,84:d4:7e:f3:00:8,-79.125,2.0966242709015193
GBlock_1F_Washroom,a8:5e:45:dc:fd:8,-80.0,2.581988897471611
GBlock_1F_Washroom,e4:c3:2a:85:e7:5,-78.25,1.5
GBlock_1F_Washroom,ea:c3:2a:85:e7:5,-78.4,1.1401754250991367
GBlock_2F_ENC201,04:bd:88:27:4a:4,-85.0,0.0
GBlock_2F_ENC201,04:bd:88:27:4f:2,-82.52083333333333,0.6389320206282753
GBlock_2F_ENC201,04:bd:88:27:51:8,-82.4,1.1401754250991367
GBlock_2F_ENC201,84:d4:7e:e6:73:e,-81.0,0.0
GBlock_2F_ENC201,84:d4:7e:e6:78:2,-83.0,0.816496580927726
GBlock_2F_ENC201,84:d4:7e:e6:83:e,-85.0,0.0
GBlock_2F_ENC201,84:d4:7e:e6:e8:4,-76.37037037037038,1.9108203913244248
GBlock_2F_ENC201,84:d4:7e:e6:f2:2,-84.0,0.0
GBlock_2F_ENC201,84:d4:7e:ef:4f:0,-69.2,3.224903099319422
GBlock_2F_ENC201,84:d4:7e:ef:63:a,-81.0,1.7320508075688772
GBlock_2F_ENC201,84:d4:7e:f2:fc:6,-84.83333333333333,1.0408329997330659
GBlock_2F_ENC201,e4:c3:2a:85:e7:5,-77.625,2.7742437837054927
